input,response
I made some mistakes.,I love that!
Do you play any instruments?,"You’re doing great, keep it up."
We did a group project.,You’re doing great!
I’m proud of myself.,You’re improving every day.
I feel happy today.,That’s really sweet.
I want to make my parents proud.,"Haha, you made me smile."
I’ll try again tomorrow.,"Haha, that’s relatable!"
My teacher gave us homework.,"Haha, that’s funny!"
I stayed up late studying.,"Wow, impressive!"
I’m nervous about my test.,"Haha, you made me smile."
My teacher said I did well.,That’s so cool!
Do you have dreams too?,I hope you feel better soon.
I studied grammar today.,"Haha, that’s funny!"
I’m planning for my future.,"Haha, you made me smile."
I'm feeling good today.,"Oh no, that sounds stressful."
I love rainy days.,Keep up the good work.
I want to make my parents proud.,Don’t give up.
I watched a concert online.,How wonderful!
I feel shy speaking English.,That’s so relatable.
I watched a concert online.,That’s a great idea.
I don’t know my future yet.,I believe in you.
I just want to relax.,That’s so nice to hear.
I don’t like spicy food.,I hope you feel better soon.
I forgot my notes.,That’s kind of you.
I feel sad today.,You can do it!
Do you like coffee?,Good luck with that!
It’s raining today.,You did your best.
I have an exam tomorrow.,That’s really nice of you.
Did you sleep well?,That’s cool!
I saw a rainbow.,That’s so cool!
I want to make my parents proud.,That’s amazing!
I need some rest.,Sounds great!
I just bought a coat for my mom.,It’s so nice of you! I bet she’ll love it.
It’s very beautiful.,You have great taste!
I bought a gift for my dad.,That’s thoughtful! What did you get him?
I got him a new watch.,He must be really happy about it.
I bought flowers for my mom today.,That’s sweet! Moms always love flowers.
I gave my sister a new phone case.,She must be smiling right now!
I just ordered shoes for my brother.,That’s nice! What color did you choose?
I helped my friend choose a birthday gift.,That’s kind of you. Friends like that are rare.
I bought my grandma a warm scarf.,That’s so caring of you.
I gave my mom some chocolates.,"Aww, that’s adorable! She must have loved it."
I bought something for myself today.,Good for you! Treat yourself sometimes.
I found a cute dress at the store.,That sounds lovely! Did you try it on?
I just bought a new T-shirt.,Nice! What color did you get?
I bought a book I’ve wanted for a long time.,That’s great! Nothing beats that feeling.
I got a discount today.,Lucky you! That’s the best part of shopping.
I bought gifts for my friends.,That’s so generous of you!
I got something special for my mom’s birthday.,That’s wonderful! She’ll be so happy.
I bought a handmade bracelet.,That sounds unique and beautiful.
I got my dad a new wallet.,Perfect choice! Dads always need one.
I bought perfume for my sister.,That’s a lovely gift. She’ll smell amazing!
I helped my friend buy a coat.,That’s nice teamwork!
I bought a new bag for school.,Nice! Hope it’s comfy to carry.
I found a cute mug at the shop.,That’s adorable! Do you collect them?
I bought matching shirts for my family.,That’s so fun! Family outfit goals.
I picked up snacks for everyone.,You’re the best! Everyone loves snacks.
I bought a small gift for my teacher.,That’s thoughtful! Teachers appreciate that a lot.
I ordered a gift online.,Nice! Can’t wait to see it.
I wrapped my mom’s gift today.,I’m sure she’ll smile when she sees it.
I bought candles for my room.,That sounds cozy! What scent did you choose?
I bought a plant for my desk.,That’s a great idea! Plants make rooms fresh.
I found a jacket on sale.,Nice deal! Sales make everything better.
I bought a cute notebook.,"Aww, perfect for writing ideas!"
I got my dad something useful.,He’ll appreciate it for sure.
I bought matching rings with my friend.,That’s adorable! Friendship goals.
I got a souvenir from my trip.,Nice! Memories you can hold onto.
I found a nice shop near my house.,That’s great! You should go there often.
I bought earrings for my mom.,She must look lovely wearing them.
I just paid for a nice pair of jeans.,Good choice! Hope they fit perfectly.
I found a cozy sweater today.,Sounds perfect for this weather.
I bought a gift box for my sister.,That’s so thoughtful!
I gave my mom flowers this morning.,That’s sweet. Moms always love surprises.
I made a handmade card for my dad.,"Aww, that’s so meaningful."
I got my brother a gaming mouse.,Nice! He’ll be excited for sure.
I bought a cute hat today.,Fashionable! Does it suit you?
I found a new perfume I love.,Nice! What scent is it?
I just bought a gift for someone special.,That’s so sweet! They’re lucky to have you.
I got a ring for my best friend.,That’s lovely! She’ll treasure it.
I went shopping with my mom.,Sounds fun! Did you buy anything nice?
I didn’t buy anything today.,That’s okay. Sometimes window shopping is enough.
I bought snacks for the weekend.,Yum! Perfect for movie time.
I ordered a gift for my friend’s birthday.,That’s nice! Hope they love it.
I got new shoes yesterday.,"Nice! Comfortable ones, I hope."
I bought a new bag online.,Online finds are the best sometimes!
I bought something special for my mom.,That’s beautiful. She must be proud of you.
I found the perfect gift today.,That’s awesome! It’s such a good feeling.
I got a surprise gift from my friend.,"Aww, how sweet of them!"
I received flowers from someone.,That’s lovely! Must’ve made your day.
I didn’t expect to get a gift.,Surprises are the best kind of happiness.
I love giving gifts to others.,That’s such a kind heart you have.
I always enjoy watching people open my gifts.,"It’s the best moment, right?"
I love shopping for gifts.,It’s so fun to find something meaningful.
I can’t decide what to buy for my mom.,Maybe something simple but heartfelt.
I’m saving money to buy a gift.,That’s a great plan!
I bought new clothes for the new year.,"Nice! Fresh start, fresh style."
I found a beautiful necklace.,That sounds elegant!
I got a cute keychain as a gift.,That’s adorable! Small gifts mean a lot.
I want to buy something for my dad.,He’ll appreciate anything from you.
I gave my mom a photo frame.,That’s a wonderful and emotional gift.
I bought some candies for my friends.,They’ll love that gesture!
I got my sister a book she wanted.,Perfect! She’ll enjoy reading it.
I bought a wallet for my boyfriend.,Nice pick! I’m sure he’ll like it.
I bought perfume for my girlfriend.,She must be really happy about that.
I picked a cute teddy bear for my friend.,That’s adorable! Everyone loves teddy bears.
I bought matching necklaces with my mom.,"Aww, that’s so sweet!"
I gave my dad a handmade keychain.,That’s a lovely and personal gift.
I bought a small plant for my grandma.,That’s beautiful. She’ll take care of it with love.
I bought my friend a cake.,Yum! That’s a tasty surprise.
I found a great deal online.,Lucky you! Sales are the best.
I just love buying gifts for people.,That’s so generous of you!
I like surprising my family.,They must love having you around.
I gave my mom a hug instead of a gift.,That’s even more special!
I love seeing people smile after getting a gift.,That’s the best reward ever.
I bought a coat for my dad.,That’s thoughtful. Hope he likes it!
I picked up flowers for my teacher.,That’s really kind of you.
I bought a cute pair of socks.,Fun choice! Cozy and colorful.
I found a lovely bracelet for my sister.,That’s beautiful! She’ll adore it.
I got my mom a nice hat.,Perfect gift! She’ll look great in it.
I bought a ring for my friend.,That’s adorable. Friendship rings are meaningful.
I helped my brother buy shoes.,Nice teamwork!
I gave my parents a dinner treat.,"Aww, that’s so sweet of you!"
I made cookies for my friends.,That’s lovely! Homemade gifts are the best.
I bought a picture frame today.,Nice! You should put a happy memory in it.
I got a discount on my purchase.,"That’s awesome! Feels great, right?"
I found a new shop with cute stuff.,That sounds fun! You should go again.
I bought something I really love.,That’s the best kind of purchase!
I gave my friend a little surprise.,That’s adorable! How did they react?
I bought new clothes for my trip.,Exciting! Where are you going?
I got matching shirts with my friend.,That’s so fun! You must look great together.
I saw something nice but didn’t buy it.,Maybe next time! It’ll wait for you.
I bought gifts for my whole family.,That’s so thoughtful and sweet.
I wrapped all the presents today.,Good job! They’ll look amazing.
I can’t wait to give my mom her gift.,She’s going to be so happy.
Do you like milk tea?,"Yes, I love it! Especially with pearls."
What’s your favorite milk tea flavor?,I like classic brown sugar milk tea.
I drink milk tea almost every day.,"Wow, that’s a lot! You must really love it."
I just bought a cup of milk tea.,Nice! What flavor did you get?
I tried taro milk tea today.,Yum! That’s one of my favorites too.
I don’t like milk tea very much.,That’s okay. What do you like to drink instead?
I think milk tea is too sweet.,You can always ask for less sugar next time.
I love bubble tea.,Same! The chewy pearls are so fun.
Do you prefer hot or cold milk tea?,"Cold for me, always refreshing!"
I had matcha milk tea this morning.,That sounds delicious and healthy.
I ordered milk tea with extra pearls.,"Haha, the more pearls, the better!"
Do you like cheese foam on top?,Yes! It tastes creamy and rich.
I tried milk tea with pudding.,That’s a great combo!
